Unnamed: 0,Data Name,Target No.,Judgement,L*(D65),a*(D65),b*(D65),Attribute,Target Name,360nm,370nm,380nm,390nm,400nm,410nm,420nm,430nm,440nm,450nm,460nm,470nm,480nm,490nm,500nm,510nm,520nm,530nm,540nm,550nm,560nm,570nm,580nm,590nm,600nm,610nm,620nm,630nm,640nm,650nm,660nm,670nm,680nm,690nm,700nm,710nm,720nm,730nm,740nm,Instrument Name,Variation,Serial No.,Firmware Version,Timestamp,Calibrated Date,Measurement Type,Geometry,Specular Component,Measurement Area,UV Setting,Observer,Illuminant 1,Illuminant 2,Data Number,Comment,Temperature(CM-512m3),User Calibration(CM-512m3A),X(D65),Y(D65),Z(D65),C*(D65),h(D65),L99(D65),a99(D65),b99(D65),C99(D65),h99(D65),x(D65),y(D65),u*(D65),v*(D65),u'(D65),v'(D65),L(Hunter)(D65),a(Hunter)(D65),b(Hunter)(D65),Munsell C Hue,Munsell C Value,Munsell C Chroma,Munsell D65 Hue,Munsell D65 Value,Munsell D65 Chroma,WI(CIE),WI(E313-73),WI(Hunter),WI(TAUBE),WI(STENSBY),WI(BERGER),WI(E313-98)(C),WI(E313-98)(D50),WI(E313-98)(D65),WI(Ganz),Tint(CIE),Tint(E313-98)(C),Tint(E313-98)(D50),Tint(E313-98)(D65),Tint(Ganz),YI(D1925),YI(E313-73),YI(E313-98)(C),YI(E313-98)(D65),YI(DIN6167)(C),YI(DIN6167)(D65),B(E313-73),Brightness(TAPPI),Brightness(ISO),Opacity(ISO 2471),Opacity(T425),Haze(D1003-97)(A),Haze(D1003-97)(C),Status A (B),Status A (G),Status A (R),Status T (B),Status T (G),Status T (R),Rx(C),Rx(D65),Rx(A),Ry(C),Ry(D65),Ry(A),Rz(C),Rz(D65),Rz(A),Standard Depth,GU,Gardner,Hazen/APHA,lodine color number,Ph. EU [AUTO],Ph. EU [B],Ph. EU [BY],Ph. EU [Y],Ph. EU [GY],Ph. EU [R],US Pharmacopeia,8 degree gloss,User Equation 1,User Equation 2,User Equation 3,User Equation 4,User Equation 5,User Equation 6,User Equation 7,User Equation 8,SC.Idx1,SC.Idx2,SC.Idx3,SC.Idx4
6,[Retrieved Data]Target6 (7-10-2024 15:39:26),------,------,80.11,-2.29,-2.00,Upload spectral data,SCI,59.56,59.65,59.80,59.69,59.56,59.25,59.05,59.02,58.93,58.98,58.87,59.03,58.90,58.91,58.78,58.61,58.38,58.05,57.82,57.42,56.94,56.43,55.82,55.22,54.68,54.12,53.63,53.23,52.74,52.40,51.95,51.57,51.07,51.10,50.55,50.08,49.87,49.32,48.96,CM-26dG,100,10001879,1.22.0001,04/10/2024 17:21,07/10/2024 14:37,Color & Gloss,di:8.de:8,SCI+SCE,SAV(3mm),100% Full,------,(None),(None),-1,------,------,------,53.03,56.88,63.27,3.04,221.08,86.30,-2.59,-0.85,2.73,198.14,0.3062,0.3284,-4.48,-2.59,0.1936,0.4671,75.42,-2.14,-1.84,6.9B,7.86,0.93,7.2B,7.86,0.96,67.31,66.03,75.12,65.71,75.52,67.97,67.73,66.31,67.29,------,5.15,4.95,6.23,5.13,------,-5.09,-4.12,-6.59,-6.56,-6.85,-6.50,59.01,58.96,58.96,------,------,------,------,0.23,0.24,0.27,0.23,0.24,0.27,55.01,55.24,54.80,56.69,56.88,56.15,58.96,58.96,58.94,26.51,109.58,------,------,------,------,------,------,------,------,------,------,586,=,=,=,=,=,=,=,=,Outside,Outside,Outside,Outside
6,[Retrieved Data]Target6 (7-10-2024 15:39:26),------,------,62.50,-2.62,-1.99,Upload spectral data,SCE,31.91,31.98,32.10,32.23,32.27,32.24,32.25,32.25,32.36,32.40,32.49,32.40,32.48,32.38,32.32,32.25,32.13,31.88,31.65,31.39,31.05,30.69,30.27,29.82,29.41,29.00,28.62,28.21,27.88,27.51,27.19,26.83,26.63,26.07,25.76,25.55,25.04,24.80,24.15,CM-26dG,100,10001879,1.22.0001,04/10/2024 17:21,07/10/2024 14:37,Color & Gloss,di:8.de:8,SCI+SCE,SAV(3mm),100% Full,------,(None),(None),-1,------,------,------,28.70,30.99,34.74,3.29,217.28,72.47,-2.87,-0.78,2.97,195.25,0.3040,0.3281,-4.70,-2.42,0.1921,0.4666,55.67,-2.21,-1.67,5.1B,6.07,0.81,5.5B,6.07,0.82,43.73,37.11,55.46,36.93,54.96,38.72,44.28,42.70,43.71,------,7.03,6.77,8.48,7.01,------,-6.90,-5.07,-8.43,-8.37,-8.84,-8.31,32.41,32.40,32.40,------,------,------,------,0.49,0.50,0.55,0.49,0.50,0.54,29.62,29.78,29.45,30.86,30.99,30.46,32.38,32.38,32.38,26.54,109.58,------,------,------,------,------,------,------,------,------,------,586,=,=,=,=,=,=,=,=,Outside,Outside,Outside,Outside
7,[Retrieved Data]Target7 (7-10-2024 15:39:26),------,------,37.65,-4.59,-18.97,Upload spectral data,SCI,5.21,5.88,7.41,10.54,14.36,16.61,17.10,17.49,18.04,18.13,17.75,17.22,16.39,15.32,14.15,13.02,11.88,10.91,10.16,9.29,8.36,7.61,7.16,6.89,6.62,6.40,6.29,6.22,6.23,6.35,6.52,6.57,6.45,6.28,6.07,5.97,6.19,6.63,7.89,CM-26dG,100,10001879,1.22.0001,04/10/2024 17:23,07/10/2024 14:37,Color & Gloss,di:8.de:8,SCI+SCE,SAV(3mm),100% Full,------,(None),(None),-1,------,------,------,8.83,9.90,18.58,19.51,256.39,49.26,-7.34,-9.04,11.64,230.93,0.2368,0.2652,-15.65,-25.18,0.1659,0.4181,31.46,-3.16,-15.74,3.2PB,3.57,4.67,3.2PB,3.58,4.71,183.35,40.93,28.35,40.84,83.11,39.47,184.63,180.58,183.33,------,26.58,25.60,36.78,26.56,------,-97.26,-83.97,-100.29,-99.71,-105.90,-99.59,17.27,17.38,17.38,------,------,------,------,0.75,0.98,1.20,0.77,0.97,1.19,7.29,7.44,7.11,9.39,9.90,8.70,17.26,17.32,17.09,28.90,0.96,------,------,------,------,------,------,------,------,------,------,1,=,=,=,=,=,=,=,=,Outside,Outside,Outside,Outside
7,[Retrieved Data]Target7 (7-10-2024 15:39:26),------,------,37.58,-4.66,-18.84,Upload spectral data,SCE,5.23,5.90,7.39,10.46,14.27,16.46,16.96,17.35,17.92,18.01,17.62,17.13,16.31,15.23,14.09,12.98,11.85,10.87,10.13,9.28,8.33,7.58,7.14,6.87,6.61,6.37,6.25,6.20,6.21,6.32,6.49,6.52,6.42,6.23,6.03,5.94,6.14,6.58,7.84,CM-26dG,100,10001879,1.22.0001,04/10/2024 17:23,07/10/2024 14:37,Color & Gloss,di:8.de:8,SCI+SCE,SAV(3mm),100% Full,------,(None),(None),-1,------,------,------,8.79,9.86,18.45,19.40,256.11,49.18,-7.36,-8.97,11.60,230.61,0.2369,0.2657,-15.63,-24.98,0.1659,0.4184,31.40,-3.20,-15.61,3.1PB,3.56,4.64,3.1PB,3.57,4.67,182.44,40.58,28.33,40.48,82.41,39.17,183.74,179.67,182.42,------,26.72,25.73,36.90,26.70,------,-96.77,-83.43,-99.79,-99.21,-105.38,-99.09,17.16,17.27,17.27,------,------,------,------,0.75,0.98,1.20,0.78,0.97,1.19,7.26,7.42,7.08,9.36,9.86,8.67,17.14,17.20,16.98,28.88,0.96,------,------,------,------,------,------,------,------,------,------,1,=,=,=,=,=,=,=,=,Outside,Outside,Outside,Outside
8,[Retrieved Data]Target8 (7-10-2024 15:39:26),------,------,84.61,0.47,4.54,Upload spectral data,SCI,45.79,47.74,49.72,51.84,54.11,56.10,57.67,58.74,59.67,60.39,61.00,61.43,61.97,62.47,62.98,63.51,64.04,64.44,64.96,65.48,65.99,66.49,66.84,67.11,67.27,67.33,67.43,67.57,67.70,67.81,67.95,68.19,68.32,68.58,68.53,68.68,68.70,68.82,68.89,CM-26dG,100,10001879,1.22.0001,04/10/2024 17:26,07/10/2024 14:37,Color & Gloss,di:8.de:8,SCI+SCE,SAV(3mm),100% Full,------,(None),(None),-1,------,------,------,62.06,65.25,64.67,4.56,84.14,89.56,1.58,2.76,3.18,60.18,0.3233,0.3399,3.50,6.63,0.2010,0.4756,80.78,0.45,4.12,1.7Y,8.35,0.60,1.5Y,8.35,0.61,42.59,45.50,80.45,45.17,67.52,45.92,42.22,45.16,42.57,------,-2.74,-2.70,-3.83,-2.76,------,11.13,7.65,9.88,9.82,9.71,9.87,60.51,60.63,60.63,------,------,------,------,0.22,0.19,0.17,0.22,0.19,0.17,66.76,66.69,67.00,65.54,65.25,65.97,60.46,60.27,60.64,27.11,1.66,------,------,------,------,------,------,------,------,------,------,9,=,=,=,=,=,=,=,=,Outside,Outside,Outside,Outside
8,[Retrieved Data]Target8 (7-10-2024 15:39:26),------,------,84.41,0.49,4.66,Upload spectral data,SCE,45.10,47.07,49.08,51.27,53.49,55.49,57.09,58.19,59.14,59.88,60.53,60.95,61.50,62.00,62.55,63.08,63.60,64.03,64.56,65.09,65.60,66.10,66.49,66.76,66.93,66.99,67.13,67.25,67.37,67.50,67.62,67.89,68.05,68.18,68.33,68.39,68.41,68.52,68.59,CM-26dG,100,10001879,1.22.0001,04/10/2024 17:26,07/10/2024 14:37,Color & Gloss,di:8.de:8,SCI+SCE,SAV(3mm),100% Full,------,(None),(None),-1,------,------,------,61.70,64.86,64.12,4.69,84.04,89.41,1.63,2.83,3.26,60.05,0.3236,0.3401,3.61,6.81,0.2012,0.4758,80.53,0.47,4.23,1.7Y,8.33,0.62,1.5Y,8.33,0.62,41.51,44.64,80.19,44.31,66.96,45.07,41.13,44.17,41.49,------,-2.84,-2.80,-3.96,-2.86,------,11.42,7.87,10.18,10.12,10.00,10.17,60.01,60.13,60.13,------,------,------,------,0.23,0.19,0.17,0.22,0.19,0.17,66.41,66.33,66.65,65.16,64.86,65.60,59.96,59.76,60.14,27.14,1.66,------,------,------,------,------,------,------,------,------,------,9,=,=,=,=,=,=,=,=,Outside,Outside,Outside,Outside
9,[Retrieved Data]Target9 (7-10-2024 15:39:27),------,------,62.83,1.18,4.11,Upload spectral data,SCI,6.11,7.32,9.71,15.05,22.17,26.17,26.92,27.65,28.59,29.13,29.17,29.09,29.11,29.26,29.53,29.92,30.29,30.58,30.93,31.29,31.85,32.54,33.04,33.25,33.19,33.02,32.80,32.55,32.33,32.08,31.81,31.60,31.35,31.20,30.93,30.72,30.50,30.29,30.00,CM-26dG,100,10001879,1.22.0001,04/10/2024 17:27,07/10/2024 14:37,Color & Gloss,di:8.de:8,SCI+SCE,SAV(3mm),100% Full,------,(None),(None),-1,------,------,------,30.07,31.38,30.71,4.28,74.00,72.75,2.11,2.36,3.17,48.25,0.3262,0.3405,4.05,5.55,0.2028,0.4763,56.02,1.01,3.29,0.6Y,6.13,0.62,0.4Y,6.13,0.62,5.27,20.28,56.05,20.12,46.93,19.90,4.79,8.15,5.25,------,-4.97,-4.82,-6.22,-4.99,------,13.40,8.95,12.18,12.14,12.01,12.19,28.75,28.83,28.82,------,------,------,------,0.54,0.51,0.49,0.54,0.51,0.48,32.49,32.44,32.57,31.58,31.38,31.88,28.72,28.62,28.79,26.94,13.65,------,------,------,------,------,------,------,------,------,------,25,=,=,=,=,=,=,=,=,Outside,Outside,Outside,Outside
9,[Retrieved Data]Target9 (7-10-2024 15:39:27),------,------,61.92,1.16,4.10,Upload spectral data,SCE,5.47,6.59,8.95,14.22,21.22,25.19,25.97,26.64,27.59,28.12,28.16,28.09,28.11,28.22,28.52,28.88,29.24,29.53,29.85,30.23,30.76,31.45,31.95,32.13,32.08,31.89,31.67,31.43,31.17,30.94,30.66,30.42,30.21,29.97,29.78,29.54,29.32,29.08,28.80,CM-26dG,100,10001879,1.22.0001,04/10/2024 17:27,07/10/2024 14:37,Color & Gloss,di:8.de:8,SCI+SCE,SAV(3mm),100% Full,------,(None),(None),-1,------,------,------,29.04,30.31,29.64,4.26,74.16,71.99,2.09,2.36,3.15,48.42,0.3263,0.3406,4.01,5.52,0.2028,0.4764,55.05,0.99,3.26,0.7Y,6.04,0.61,0.5Y,6.04,0.62,3.97,19.49,55.08,19.34,46.01,19.14,3.49,6.88,3.95,------,-4.98,-4.83,-6.24,-5.01,------,13.48,9.02,12.26,12.23,12.09,12.28,27.74,27.82,27.82,------,------,------,------,0.56,0.53,0.50,0.56,0.53,0.50,31.38,31.33,31.46,30.50,30.31,30.79,27.72,27.62,27.78,26.94,13.65,------,------,------,------,------,------,------,------,------,------,25,=,=,=,=,=,=,=,=,Outside,Outside,Outside,Outside
10,[Retrieved Data]Target10 (7-10-2024 15:39:27),------,------,88.41,-0.50,4.18,Upload spectral data,SCI,21.96,23.91,27.30,32.32,39.76,50.66,61.48,65.85,68.66,69.29,69.42,70.07,70.77,71.40,72.20,72.75,72.93,72.88,72.93,72.92,72.81,72.77,72.94,73.38,73.78,74.23,74.98,75.88,76.66,77.40,78.01,78.32,78.36,78.88,79.13,79.26,79.58,79.98,80.75,CM-26dG,100,10001879,1.22.0001,04/10/2024 17:28,07/10/2024 14:37,Color & Gloss,di:8.de:8,SCI+SCE,SAV(3mm),100% Full,------,(None),(None),-1,------,------,------,68.90,72.91,72.91,4.21,96.76,92.23,0.63,2.73,2.80,76.91,0.3209,0.3396,1.91,6.33,0.1995,0.4751,85.39,-0.48,3.88,4.4Y,8.73,0.46,4.6Y,8.73,0.46,52.71,54.99,85.00,54.62,72.49,55.32,52.94,55.60,52.69,------,-0.79,-0.91,-1.92,-0.81,------,9.18,6.19,7.91,7.99,7.50,8.05,68.55,68.81,68.80,------,------,------,------,0.17,0.14,0.12,0.16,0.14,0.13,73.91,73.79,74.28,73.10,72.91,73.43,68.50,67.95,68.67,27.05,4.40,------,------,------,------,------,------,------,------,------,------,15,=,=,=,=,=,=,=,=,Outside,Outside,Outside,Outside
10,[Retrieved Data]Target10 (7-10-2024 15:39:27),------,------,88.09,-0.43,4.12,Upload spectral data,SCE,21.50,23.54,26.93,31.90,39.23,50.15,60.95,65.29,68.20,68.73,68.81,69.46,70.15,70.71,71.54,72.07,72.20,72.20,72.24,72.23,72.14,72.07,72.28,72.74,73.10,73.58,74.39,75.24,76.03,76.81,77.42,77.73,77.75,78.24,78.58,78.73,79.01,79.34,80.19,CM-26dG,100,10001879,1.22.0001,04/10/2024 17:28,07/10/2024 14:37,Color & Gloss,di:8.de:8,SCI+SCE,SAV(3mm),100% Full,------,(None),(None),-1,------,------,------,68.30,72.24,72.30,4.14,96.01,92.01,0.67,2.68,2.77,75.88,0.3209,0.3394,1.96,6.23,0.1996,0.4750,85.00,-0.42,3.82,4.0Y,8.70,0.46,4.2Y,8.70,0.46,52.28,54.71,84.64,54.34,72.50,54.91,52.51,55.14,52.26,------,-0.87,-1.00,-2.01,-0.89,------,9.14,6.12,7.86,7.95,7.46,8.00,67.98,68.22,68.22,------,------,------,------,0.17,0.14,0.12,0.17,0.14,0.13,73.26,73.13,73.63,72.43,72.24,72.76,67.92,67.38,68.09,27.03,4.40,------,------,------,------,------,------,------,------,------,------,15,=,=,=,=,=,=,=,=,Outside,Outside,Outside,Outside
11,[Retrieved Data]Target11 (7-10-2024 15:39:27),------,------,36.81,-0.10,-0.09,Upload spectral data,SCI,9.12,9.19,9.21,9.32,9.44,9.46,9.45,9.49,9.45,9.48,9.38,9.54,9.46,9.53,9.49,9.46,9.42,9.42,9.48,9.45,9.42,9.42,9.43,9.42,9.41,9.39,9.39,9.42,9.36,9.41,9.40,9.38,9.25,9.55,9.41,9.38,9.46,9.38,9.46,CM-26dG,100,10001879,1.22.0001,04/10/2024 17:30,07/10/2024 14:37,Color & Gloss,di:8.de:8,SCI+SCE,SAV(3mm),100% Full,------,(None),(None),-1,------,------,------,8.94,9.44,10.16,0.14,221.43,48.37,-0.12,-0.04,0.13,198.41,0.3132,0.3308,-0.17,-0.10,0.1975,0.4693,30.72,-0.07,-0.06,6.6B,3.58,0.03,7.2B,3.58,0.03,10.29,9.62,30.72,9.57,30.76,9.57,10.41,10.19,10.28,------,0.42,0.39,0.47,0.40,------,0.88,-0.48,-0.54,-0.54,-0.53,-0.48,9.48,9.47,9.47,------,------,------,------,1.02,1.03,1.03,1.02,1.02,1.03,9.41,9.42,9.42,9.43,9.44,9.43,9.47,9.47,9.47,26.40,39.98,------,------,------,------,------,------,------,------,------,------,61,=,=,=,=,=,=,=,=,Outside,Outside,Outside,Outside
11,[Retrieved Data]Target11 (7-10-2024 15:39:27),------,------,31.23,-0.26,-0.17,Upload spectral data,SCE,6.43,6.51,6.53,6.63,6.76,6.78,6.78,6.82,6.79,6.79,6.68,6.90,6.81,6.86,6.84,6.80,6.75,6.75,6.80,6.78,6.73,6.72,6.72,6.71,6.70,6.67,6.67,6.70,6.64,6.69,6.66,6.63,6.49,6.81,6.66,6.60,6.71,6.61,6.67,CM-26dG,100,10001879,1.22.0001,04/10/2024 17:30,07/10/2024 14:37,Color & Gloss,di:8.de:8,SCI+SCE,SAV(3mm),100% Full,------,(None),(None),-1,------,------,------,6.38,6.75,7.29,0.31,212.40,42.32,-0.29,-0.06,0.30,191.64,0.3123,0.3307,-0.38,-0.16,0.1969,0.4692,25.98,-0.17,-0.11,3.4B,3.04,0.07,3.8B,3.04,0.06,8.50,6.98,25.97,6.94,25.92,6.99,8.68,8.34,8.48,------,1.15,1.09,1.30,1.13,------,0.18,-0.86,-1.24,-1.23,-1.28,-1.17,6.80,6.79,6.79,------,------,------,------,1.17,1.17,1.18,1.17,1.17,1.17,6.70,6.71,6.70,6.74,6.75,6.73,6.80,6.79,6.80,26.40,39.98,------,------,------,------,------,------,------,------,------,------,61,=,=,=,=,=,=,=,=,Outside,Outside,Outside,Outside
12,[Retrieved Data]Target12 (7-10-2024 15:39:27),------,------,95.49,-1.00,2.17,Upload spectral data,SCI,7.65,9.22,12.09,20.98,42.02,68.84,83.10,85.19,86.25,86.94,87.25,87.47,87.62,87.86,88.20,88.54,88.91,89.10,89.32,89.38,89.25,89.18,89.05,88.97,88.86,88.70,88.59,88.53,88.40,88.43,88.40,88.36,88.21,88.22,87.91,87.72,87.60,87.58,87.58,CM-26dG,100,10001879,1.22.0001,04/10/2024 17:34,07/10/2024 14:37,Color & Gloss,di:8.de:8,SCI+SCE,SAV(3mm),100% Full,------,(None),(None),-1,------,------,------,83.65,88.78,92.08,2.39,114.87,97.05,-0.35,1.59,1.63,102.56,0.3162,0.3356,-0.08,3.47,0.1978,0.4723,94.22,-1.01,2.10,5.4GY,9.46,0.23,5.4GY,9.46,0.24,78.96,78.87,93.85,78.40,85.03,79.72,79.47,80.42,78.94,------,0.85,0.71,0.52,0.82,------,4.55,2.82,3.20,3.35,2.88,3.41,86.36,86.54,86.52,------,------,------,------,0.06,0.05,0.05,0.07,0.05,0.05,88.76,88.80,88.85,88.89,88.78,88.88,86.29,85.82,86.37,26.60,90.27,------,------,------,------,------,------,------,------,------,------,97,=,=,=,=,=,=,=,=,Outside,Outside,Outside,Outside
12,[Retrieved Data]Target12 (7-10-2024 15:39:27),------,------,93.66,-1.02,2.35,Upload spectral data,SCE,3.64,5.28,8.15,16.95,37.78,64.33,78.56,80.72,81.76,82.52,82.84,83.07,83.25,83.50,83.86,84.21,84.53,84.80,85.01,85.09,85.01,84.88,84.80,84.72,84.63,84.49,84.37,84.27,84.21,84.20,84.18,84.17,83.99,83.98,83.72,83.52,83.39,83.35,83.40,CM-26dG,100,10001879,1.22.0001,04/10/2024 17:34,07/10/2024 14:37,Color & Gloss,di:8.de:8,SCI+SCE,SAV(3mm),100% Full,------,(None),(None),-1,------,------,------,79.58,84.49,87.33,2.56,113.59,95.82,-0.32,1.71,1.74,100.77,0.3166,0.3361,0.00,3.74,0.1979,0.4726,91.92,-1.03,2.25,5.1GY,9.27,0.25,5.1GY,9.27,0.26,73.67,73.99,91.63,73.54,82.18,74.89,74.19,75.26,73.65,------,0.83,0.69,0.46,0.81,------,4.93,3.14,3.58,3.73,3.23,3.79,81.93,82.11,82.10,------,------,------,------,0.09,0.07,0.07,0.09,0.07,0.07,84.51,84.55,84.60,84.61,84.49,84.61,81.86,81.39,81.95,26.64,90.27,------,------,------,------,------,------,------,------,------,------,97,=,=,=,=,=,=,=,=,Outside,Outside,Outside,Outside
13,[Retrieved Data]Target13 (7-10-2024 15:39:27),------,------,54.59,11.30,12.26,Upload spectral data,SCI,12.45,12.92,13.36,13.87,14.51,15.11,15.53,15.87,16.12,16.34,16.52,16.82,17.00,17.37,17.74,18.07,18.43,18.86,19.49,20.37,21.74,23.66,25.91,28.07,29.82,31.02,31.86,32.50,33.00,33.55,34.09,34.68,35.26,36.12,36.74,37.37,38.17,38.67,39.29,CM-26dG,100,10001879,1.22.0001,04/10/2024 17:35,07/10/2024 14:37,Color & Gloss,di:8.de:8,SCI+SCE,SAV(3mm),100% Full,------,(None),(None),-1,------,------,------,23.83,22.53,17.58,16.68,47.33,65.62,10.81,4.61,11.75,23.08,0.3727,0.3524,22.78,13.92,0.2300,0.4892,47.47,9.45,8.64,2.4YR,5.35,3.10,2.4YR,5.34,3.12,-60.87,-3.14,46.38,-3.23,45.69,-9.89,-64.13,-50.09,-60.89,------,-39.11,-37.93,-45.38,-39.13,------,48.84,28.41,48.08,47.92,48.88,47.95,16.48,16.49,16.49,------,------,------,------,0.79,0.71,0.49,0.78,0.71,0.51,27.70,27.19,28.46,23.02,22.53,24.58,16.46,16.39,16.54,29.66,0.04,------,------,------,------,------,------,------,------,------,------,3,=,=,=,=,=,=,=,=,Outside,Outside,Outside,Outside
13,[Retrieved Data]Target13 (7-10-2024 15:39:27),------,------,54.46,11.27,12.28,Upload spectral data,SCE,12.37,12.82,13.21,13.77,14.42,15.00,15.43,15.77,16.01,16.22,16.43,16.72,16.91,17.26,17.66,18.00,18.34,18.76,19.38,20.27,21.61,23.53,25.77,27.93,29.65,30.85,31.70,32.33,32.82,33.38,33.92,34.52,35.10,35.89,36.57,37.22,37.95,38.43,39.07,CM-26dG,100,10001879,1.22.0001,04/10/2024 17:35,07/10/2024 14:37,Color & Gloss,di:8.de:8,SCI+SCE,SAV(3mm),100% Full,------,(None),(None),-1,------,------,------,23.70,22.41,17.47,16.66,47.46,65.51,10.79,4.62,11.74,23.18,0.3728,0.3525,22.72,13.93,0.2300,0.4892,47.34,9.41,8.64,2.5YR,5.34,3.10,2.5YR,5.33,3.11,-61.24,-3.19,46.26,-3.27,45.45,-9.88,-64.51,-50.42,-61.26,------,-39.09,-37.91,-45.37,-39.11,------,48.90,28.48,48.15,47.99,48.94,48.02,16.38,16.39,16.39,------,------,------,------,0.79,0.72,0.49,0.78,0.71,0.51,27.56,27.05,28.30,22.90,22.41,24.45,16.36,16.28,16.44,29.66,0.04,------,------,------,------,------,------,------,------,------,------,3,=,=,=,=,=,=,=,=,Outside,Outside,Outside,Outside
14,[Retrieved Data]Target14 (7-10-2024 15:39:27),------,------,28.89,0.02,-0.10,Upload spectral data,SCI,4.87,4.80,4.78,4.84,5.08,5.47,5.63,5.77,5.88,5.89,5.90,5.75,5.82,5.88,5.86,5.84,5.81,5.88,5.92,5.84,5.74,5.65,5.52,5.45,5.53,5.93,6.25,6.27,6.06,5.97,6.06,6.13,5.90,5.97,5.92,5.93,5.78,5.73,5.75,CM-26dG,100,10001879,1.22.0001,04/10/2024 17:40,07/10/2024 14:37,Color & Gloss,di:8.de:8,SCI+SCE,SAV(3mm),100% Full,------,(None),(None),-1,------,------,------,5.50,5.79,6.24,0.10,283.07,39.67,-0.01,-0.07,0.07,265.81,0.3135,0.3305,-0.02,-0.12,0.1978,0.4692,24.07,0.01,-0.06,6.8P,2.81,0.04,6.4P,2.82,0.04,6.90,5.97,24.06,5.94,24.78,5.86,7.21,7.02,6.88,------,-0.00,-0.09,-0.39,-0.02,------,0.95,-0.80,-0.47,-0.43,-0.40,-0.37,5.83,5.83,5.83,------,------,------,------,1.23,1.23,1.21,1.24,1.23,1.23,5.80,5.79,5.83,5.79,5.79,5.79,5.83,5.82,5.83,26.40,92.80,------,------,------,------,------,------,------,------,------,------,124,=,=,=,=,=,=,=,=,Outside,Outside,Outside,Outside
14,[Retrieved Data]Target14 (7-10-2024 15:39:27),------,------,2.77,-0.10,0.18,Upload spectral data,SCE,0.28,0.28,0.25,0.23,0.28,0.29,0.28,0.28,0.30,0.30,0.29,0.30,0.30,0.32,0.33,0.33,0.33,0.32,0.33,0.32,0.29,0.27,0.26,0.25,0.28,0.31,0.35,0.40,0.41,0.37,0.37,0.36,0.42,0.44,0.42,0.41,0.41,0.41,0.44,CM-26dG,100,10001879,1.22.0001,04/10/2024 17:40,07/10/2024 14:37,Color & Gloss,di:8.de:8,SCI+SCE,SAV(3mm),100% Full,------,(None),(None),-1,------,------,------,0.29,0.31,0.32,0.21,117.94,4.52,-0.04,0.14,0.15,106.81,0.3164,0.3364,-0.01,0.12,0.1976,0.4728,5.54,-0.08,0.14,1.0GY,0.26,0.04,9.1Y,0.21,0.05,-10.88,0.27,5.53,0.27,5.15,0.27,-10.57,-9.32,-10.90,------,1.22,0.72,-0.68,1.20,------,5.12,3.12,3.79,3.69,4.12,3.74,0.30,0.30,0.30,------,------,------,------,2.53,2.49,2.43,2.53,2.50,2.50,0.31,0.31,0.31,0.31,0.31,0.31,0.30,0.30,0.30,26.40,92.80,------,------,------,------,------,------,------,------,------,------,124,=,=,=,=,=,=,=,=,Outside,Outside,Outside,Outside
